geoid,geoid20,year,denom_total_hh,med_hh_inc_adj,med_hh_inc
1400000US06037115302,6037115302,2022,1078,76250,76250
1400000US06037115401,6037115401,2022,2037,58909,58909
1400000US06037115403,6037115403,2022,1093,82875,82875
1400000US06037115404,6037115404,2022,890,92250,92250
1400000US06037117101,6037117101,2022,1522,102639,102639
1400000US06037117102,6037117102,2022,861,90833,90833
1400000US06037117201,6037117201,2022,1278,51395,51395
1400000US06037117202,6037117202,2022,951,107313,107313
1400000US06037117301,6037117301,2022,1130,129266,129266
1400000US06037117302,6037117302,2022,1705,119311,119311
1400000US06037117303,6037117303,2022,1205,122096,122096
1400000US06037117404,6037117404,2022,1396,127821,127821
1400000US06037117405,6037117405,2022,909,41480,41480
1400000US06037117407,6037117407,2022,1027,48341,48341
1400000US06037117408,6037117408,2022,735,50714,50714
1400000US06037117510,6037117510,2022,1129,61875,61875
1400000US06037117520,6037117520,2022,1107,53558,53558
1400000US06037117530,6037117530,2022,1748,54654,54654
1400000US06037119001,6037119001,2022,1033,105536,105536
1400000US06037119003,6037119003,2022,873,106625,106625
1400000US06037119004,6037119004,2022,795,74375,74375
1400000US06037119201,6037119201,2022,903,101667,101667
1400000US06037119202,6037119202,2022,1150,72807,72807
1400000US06037119310,6037119310,2022,1265,75588,75588
1400000US06037119320,6037119320,2022,1283,86308,86308
1400000US06037119340,6037119340,2022,1077,47021,47021
1400000US06037119341,6037119341,2022,865,51159,51159
1400000US06037119342,6037119342,2022,823,76078,76078
1400000US06037119400,6037119400,2022,1149,93053,93053
1400000US06037119700,6037119700,2022,1352,92011,92011
1400000US06037119801,6037119801,2022,631,94750,94750
1400000US06037119802,6037119802,2022,837,91964,91964
1400000US06037119900,6037119900,2022,1292,87986,87986
1400000US06037120010,6037120010,2022,763,60972,60972
1400000US06037120020,6037120020,2022,1270,43253,43253
1400000US06037120030,6037120030,2022,731,42188,42188
1400000US06037120103,6037120103,2022,850,35357,35357
1400000US06037120104,6037120104,2022,825,46958,46958
1400000US06037120105,6037120105,2022,883,45237,45237
1400000US06037120106,6037120106,2022,1357,38866,38866
1400000US06037120107,6037120107,2022,1124,40129,40129
1400000US06037120108,6037120108,2022,1475,55063,55063
1400000US06037120300,6037120300,2022,1523,66615,66615
1400000US06037120400,6037120400,2022,2086,68491,68491
1400000US06037121010,6037121010,2022,1260,82685,82685
1400000US06037121020,6037121020,2022,1145,70382,70382
1400000US06037121101,6037121101,2022,1032,66442,66442
1400000US06037121102,6037121102,2022,837,72632,72632
1400000US06037121210,6037121210,2022,851,71932,71932
1400000US06037121221,6037121221,2022,531,78897,78897
1400000US06037121222,6037121222,2022,1288,71845,71845
1400000US06037121600,6037121600,2022,863,100139,100139
1400000US06037121801,6037121801,2022,1280,45842,45842
1400000US06037121802,6037121802,2022,783,83450,83450
1400000US06037121900,6037121900,2022,1250,67250,67250
1400000US06037122000,6037122000,2022,1608,93454,93454
1400000US06037122120,6037122120,2022,1205,59770,59770
1400000US06037122121,6037122121,2022,804,61875,61875
1400000US06037122122,6037122122,2022,697,46149,46149
1400000US06037122200,6037122200,2022,952,65255,65255
1400000US06037122410,6037122410,2022,1235,55345,55345
1400000US06037122420,6037122420,2022,1370,74966,74966
1400000US06037123010,6037123010,2022,1037,48549,48549
1400000US06037123020,6037123020,2022,751,81250,81250
1400000US06037123103,6037123103,2022,1684,80857,80857
1400000US06037123104,6037123104,2022,1787,69276,69276
1400000US06037123203,6037123203,2022,1022,40938,40938
1400000US06037123204,6037123204,2022,1123,64550,64550
1400000US06037123205,6037123205,2022,807,53281,53281
1400000US06037123206,6037123206,2022,871,41750,41750
1400000US06037123301,6037123301,2022,1742,72668,72668
1400000US06037123303,6037123303,2022,918,69958,69958
1400000US06037123304,6037123304,2022,1833,44009,44009
1400000US06037123410,6037123410,2022,1276,51828,51828
1400000US06037123420,6037123420,2022,1636,54572,54572
1400000US06037123510,6037123510,2022,1692,47805,47805
1400000US06037123520,6037123520,2022,822,57446,57446
1400000US06037123601,6037123601,2022,1989,66642,66642
1400000US06037123602,6037123602,2022,1294,58705,58705
1400000US06037123700,6037123700,2022,1813,90767,90767
1400000US06037123800,6037123800,2022,2390,90933,90933
1400000US06037123901,6037123901,2022,1558,41154,41154
1400000US06037123902,6037123902,2022,1147,88438,88438
1400000US06037124000,6037124000,2022,2243,78493,78493
1400000US06037124102,6037124102,2022,1572,67131,67131
1400000US06037124103,6037124103,2022,595,57793,57793
1400000US06037124104,6037124104,2022,1120,50724,50724
1400000US06037124105,6037124105,2022,890,62845,62845
1400000US06037124201,6037124201,2022,1170,77379,77379
1400000US06037124203,6037124203,2022,823,63851,63851
1400000US06037124204,6037124204,2022,992,50921,50921
1400000US06037124300,6037124300,2022,1407,62426,62426
1400000US06037124400,6037124400,2022,1700,84957,84957
1400000US06037124500,6037124500,2022,1284,75625,75625
1400000US06037124600,6037124600,2022,1439,91452,91452
1400000US06037124700,6037124700,2022,2591,101863,101863
1400000US06037124902,6037124902,2022,1634,58178,58178
1400000US06037124903,6037124903,2022,1646,75907,75907
1400000US06037125101,6037125101,2022,2219,81758,81758
1400000US06037125102,6037125102,2022,868,158596,158596
1400000US06037125200,6037125200,2022,2114,88274,88274
1400000US06037125310,6037125310,2022,2390,58162,58162
1400000US06037125321,6037125321,2022,1510,53778,53778
1400000US06037125322,6037125322,2022,1729,34432,34432
1400000US06037125402,6037125402,2022,2162,86170,86170
1400000US06037125403,6037125403,2022,1495,80893,80893
1400000US06037125404,6037125404,2022,1871,77574,77574
1400000US06037125501,6037125501,2022,1612,62109,62109
1400000US06037125502,6037125502,2022,2084,78139,78139
1400000US06037125600,6037125600,2022,1343,105432,105432
1400000US06037127102,6037127102,2022,1632,50739,50739
1400000US06037127103,6037127103,2022,1374,58591,58591
1400000US06037127104,6037127104,2022,1436,63158,63158
1400000US06037127210,6037127210,2022,2017,63255,63255
1400000US06037127220,6037127220,2022,1792,44846,44846
1400000US06037127300,6037127300,2022,1430,71860,71860
1400000US06037127400,6037127400,2022,2030,66009,66009
1400000US06037127520,6037127520,2022,1497,48750,48750
1400000US06037127603,6037127603,2022,937,55739,55739
1400000US06037127604,6037127604,2022,1541,48750,48750
1400000US06037127605,6037127605,2022,1232,58903,58903
1400000US06037127606,6037127606,2022,1170,64915,64915
1400000US06037127711,6037127711,2022,1176,93441,93441
1400000US06037127712,6037127712,2022,1641,60514,60514
1400000US06037127803,6037127803,2022,1874,64607,64607
1400000US06037127804,6037127804,2022,1698,68599,68599
1400000US06037127805,6037127805,2022,1225,52900,52900
1400000US06037127806,6037127806,2022,1347,75817,75817
1400000US06037127910,6037127910,2022,1659,53783,53783
1400000US06037127920,6037127920,2022,1496,69495,69495
1400000US06037128101,6037128101,2022,1177,80714,80714
1400000US06037128102,6037128102,2022,1660,58603,58603
1400000US06037128210,6037128210,2022,1664,57679,57679
1400000US06037128220,6037128220,2022,1265,61389,61389
1400000US06037128302,6037128302,2022,1590,63047,63047
1400000US06037128303,6037128303,2022,1186,41328,41328
1400000US06037128400,6037128400,2022,1879,101955,101955
1400000US06037128500,6037128500,2022,2235,118460,118460
1400000US06037128601,6037128601,2022,1789,64482,64482
1400000US06037128602,6037128602,2022,1306,88333,88333
1400000US06037128703,6037128703,2022,1803,86080,86080
1400000US06037128704,6037128704,2022,1022,128472,128472
1400000US06037128801,6037128801,2022,2125,85781,85781
1400000US06037128802,6037128802,2022,2276,107653,107653
1400000US06037128910,6037128910,2022,1959,108333,108333
1400000US06037131021,6037131021,2022,1073,58333,58333
1400000US06037131022,6037131022,2022,1102,63140,63140
1400000US06037131023,6037131023,2022,824,77880,77880
1400000US06037131024,6037131024,2022,1094,93929,93929
1400000US06037131100,6037131100,2022,1083,104750,104750
1400000US06037131200,6037131200,2022,1216,102095,102095
1400000US06037131300,6037131300,2022,1196,69651,69651
1400000US06037131400,6037131400,2022,1912,88661,88661
1400000US06037131600,6037131600,2022,1482,84524,84524
1400000US06037131701,6037131701,2022,1864,92935,92935
1400000US06037131702,6037131702,2022,1286,74227,74227
1400000US06037131801,6037131801,2022,1131,53707,53707
1400000US06037131802,6037131802,2022,803,99087,99087
1400000US06037131900,6037131900,2022,1414,126282,126282
1400000US06037132001,6037132001,2022,1197,91012,91012
1400000US06037132002,6037132002,2022,1184,96408,96408
1400000US06037132101,6037132101,2022,1674,68246,68246
1400000US06037132102,6037132102,2022,2116,68548,68548
1400000US06037132301,6037132301,2022,1484,59484,59484
1400000US06037132302,6037132302,2022,995,86464,86464
1400000US06037132501,6037132501,2022,1323,74205,74205
1400000US06037132502,6037132502,2022,1306,59018,59018
1400000US06037132700,6037132700,2022,1764,79893,79893
1400000US06037132900,6037132900,2022,1367,96767,96767
1400000US06037133000,6037133000,2022,1459,86914,86914
1400000US06037133101,6037133101,2022,642,98750,98750
1400000US06037133102,6037133102,2022,1381,44125,44125
1400000US06037134001,6037134001,2022,962,80682,80682
1400000US06037134002,6037134002,2022,1196,68750,68750
1400000US06037134101,6037134101,2022,1426,81417,81417
1400000US06037134103,6037134103,2022,1380,85000,85000
1400000US06037134104,6037134104,2022,1361,75174,75174
1400000US06037134201,6037134201,2022,1375,92024,92024
1400000US06037134302,6037134302,2022,1391,122563,122563
